"Buffer","base charge","pKa1","pKa2","pKa3","pKa4"
"ammonia",1,4.75,38,,
"ammonium",0,9.25,,,
"borate",0,9.237,,,
"diphosphate",0,0.83,2.26,6.72,9.46
"phosphate",0,2.148,7.198,12.35,
"cacodylate",1,1.78,6.28,,
"dimethylglutarate",0,3.7,6.34,,
"glycerophosphate",0,1.329,6.65,,
"mercaptoethanol",0,9.75,,,
"bis-tris",1,6.484,,,
"bis-tris propane",2,6.65,9.1,,
"ethanolamine",1,9.498,,,
"methylamine",1,10.645,,,
"triethanolamine",1,7.762,,,
"tris",1,8.072,,,
"acetate",0,4.46,,,
"bicarbonate",1,6.36,,,
"carbonate",0,6.351,10.329,,
"citrate",0,3.128,4.761,6.396,
"maleate",0,1.92,6.27,,
"succinate",0,4.207,5.636,,
"bicine",1,2,8.334,,
"cysteine",1,1.71,8.36,10.75,
"glycine",1,2.35,9.78,,
"glyclyglycine",1,3.14,8.265,,
"histidine",2,1.54,6.04,9.34,
"tricine",1,2.023,8.135,,
"ches",0,9.394,,,
"hepes",1,3,7.564,,
"mes",0,6.27,,,
"mops",0,7.184,,,
"pipes",0,7.141,,,
"taps",0,8.44,,,
"tes",0,7.55,,,
"veronal",0,7.98,12.8,,
"imidazole",1,6.993,14.5,,
"2-methylimidazole",1,8.01,,,
