Module,Option,Enzyme,Formula,Flux
AC,11,A1,C00024 + C00288 + C00002 => C00083 + C00008 + C00009,2
AC,11,C1,C00022 + C00002 + C00001 => C00074 + C00020 + C00009,1
AC,11,C2,C00074 + C00288 => C00036 + C00009,1
AC,12,A1,C00024 + C00288 + C00002 => C00083 + C00008 + C00009,2
AC,12,C3,C00022 + C00288 + C00002 => C00036 + C00008 + C00009,1
AC,21,A2,C00024 + C00036 => C00083 + C00022,2
AC,21,C1,C00022 + C00002 + C00001 => C00074 + C00020 + C00009,3
AC,21,C2,C00074 + C00288 => C00036 + C00009,3
AC,22,A2,C00024 + C00036 => C00083 + C00022,2
AC,22,C3,C00022 + C00288 + C00002 => C00036 + C00008 + C00009,3
BD,11,B1,C00083 + 2 C00005 => 2 C00006 + C00010 + C01013,2
BD,11,B2,C01013 + C00827 => C05668 + C00256,2
BD,11,B3,C05668 => C00001 + C00894,2
BD,11,B4,C00894 + C00001 => C00827,2
BD,11,D0,C00256 + C00036 => C00022 + C00149,2
BD,11,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,2
BD,11,D3,C04348 => C00024 + C00048,2
BD,11,D4,C00048 + C00004 + C00014 => C00001 + C00037 + C00003,1
BD,11,D5,C00048 + C00037 => C03961,1
BD,11,D6,C03961 => C00036 + C00014,1
BD,13,B1,C00083 + 2 C00005 => 2 C00006 + C00010 + C01013,2
BD,13,B2,C01013 + C00827 => C05668 + C00256,2
BD,13,B3,C05668 => C00001 + C00894,2
BD,13,B4,C00894 + C00001 => C00827,2
BD,13,D0,C00256 + C00036 => C00022 + C00149,2
BD,13,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,1
BD,13,D3,C04348 => C00024 + C00048,1
BD,13,D7,C00149 => C00122 + C00001,1
BD,13,D8,C00122 + C05819 => C00042 + C00828,1
BD,13,D9,C00042 + C00048 => C00311,1
BD,13,D10,C00311 => C00158,1
BD,13,D11,C00158 + C00002 + C00010 => C00036 + C00024 + C00008 + C00009,1
BD,21,B6,C00083 + C00005 => C00222 + C00006 + C00010,2
BD,21,B7,C00222 + C00041 => C00099 + C00022,2
BD,21,B8,C00099 => C00041,2
BD,21,D1,C00036 + C00005 => C00149 + C00006,2
BD,21,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,2
BD,21,D3,C04348 => C00024 + C00048,2
BD,21,D4,C00048 + C00004 + C00014 => C00001 + C00037 + C00003,1
BD,21,D5,C00048 + C00037 => C03961,1
BD,21,D6,C03961 => C00036 + C00014,1
BD,22,B6,C00083 + C00005 => C00222 + C00006 + C00010,2
BD,22,B7,C00222 + C00041 => C00099 + C00022,2
BD,22,B8,C00099 => C00041,2
BD,22,D1,C00036 + C00005 => C00149 + C00006,1
BD,22,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,1
BD,22,D3,C04348 => C00024 + C00048,1
BD,22,D4,C00048 + C00004 + C00014 => C00001 + C00037 + C00003,1
BD,22,D12,C00037 + C00009 + C00342 => C00227 + C00014 + C00343 + C00001,1
BD,22,D13,C00227 + C00010 => C00024 + C00009,1
BD,23,B6,C00083 + C00005 => C00222 + C00006 + C00010,2
BD,23,B7,C00222 + C00041 => C00099 + C00022,2
BD,23,B8,C00099 => C00041,2
BD,23,D1,C00036 + C00005 => C00149 + C00006,2
BD,23,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,1
BD,23,D3,C04348 => C00024 + C00048,1
BD,23,D7,C00149 => C00122 + C00001,1
BD,23,D8,C00122 + C05819 => C00042 + C00828,1
BD,23,D9,C00042 + C00048 => C00311,1
BD,23,D10,C00311 => C00158,1
BD,23,D11,C00158 + C00002 + C00010 => C00036 + C00024 + C00008 + C00009,1
BD,24,B6,C00083 + C00005 => C00222 + C00006 + C00010,2
BD,24,B7,C00222 + C00041 => C00099 + C00022,2
BD,24,B8,C00099 => C00041,2
BD,24,D1,C00036 + C00005 => C00149 + C00006,1
BD,24,D7,C00149 => C00122 + C00001,1
BD,24,D8,C00122 + C05819 => C00042 + C00828,1
BD,24,D14,C00042 + C00002 + C00010 => C00091 + C00008 + C00009,1
BD,24,D15,C00091 + C00005 => C00232 + C00006 + C00010,1
BD,24,D16,C00232 + C00005 => C00989 + C00006,1
BD,24,D17,C00989 + C00002 + C00010 => C11062 + C00020 + C00013,1
BD,24,D18,C11062 => C00877 + C00001,1
BD,24,D19,C00877 + C00001 => C01144,1
BD,24,D20,C01144 + C00003 => C00332 + C00004,1
BD,24,D21,C00332 + C00010 => 2 C00024,1
